tag,domain_hint,description,added,added_by
global_trade_tariffs,global_macro,"Tariffs, trade agreements, WTO disputes and trade barriers between any states",2026-08-19,seed
energy_markets_policy,global_macro,"OPEC decisions, production policy, refining capacity and energy supply disruption",2026-08-19,seed
ai_technology_policy,global_macro,"AI regulation, chip export controls, data centre policy and technology governance",2026-08-19,seed
global_financial_stability,global_macro,"Sovereign debt stress, bond market disruption, banking system stability",2026-08-19,seed
china_economy,global_macro,"Chinese growth, stimulus, property sector and industrial overcapacity",2026-08-19,seed
europe_economy,global_macro,"ECB policy, EU fiscal rules and major European economies",2026-08-19,seed
us_elections,us_politics,"Federal and significant state elections, primaries and campaign developments",2026-08-19,seed
us_congress,us_politics,"Legislation, confirmations, committee action and congressional leadership",2026-08-19,seed
us_executive_power,us_politics,"Executive orders, agency restructuring, appointments and removals",2026-08-19,seed
us_courts,us_politics,"Supreme Court and federal court rulings with policy consequences",2026-08-19,seed
us_immigration_policy,us_politics,"Immigration enforcement, visas, deportation and border policy",2026-08-19,seed
us_federal_agencies,us_politics,"Regulatory agencies, their leadership, funding and enforcement actions",2026-08-19,seed
us_state_federal_conflict,us_politics,"Legal and political conflict between states and the federal government",2026-08-19,seed
climate_environment_policy,global_macro,"Emissions rules, land and resource policy, climate commitments and disasters",2026-08-19,seed
public_health_policy,global_macro,"Disease outbreaks, health regulation, drug approval and health system policy",2026-08-19,seed
bilateral_treaties,geopolitics,Auto-created from question: Will India and Bangladesh sign a successor agreement to the 1996 Ganga Water Treaty on or before 31 December 2026?,2026-08-22,system
regional_security,geopolitics,Auto-created from question: Will India and Bangladesh sign a successor agreement to the 1996 Ganga Water Treaty on or before 31 December 2026?,2026-08-22,system
higher_education_policy,us_politics,Auto-created from question: Will the U.S. Education Department formally revoke the American Bar Association's (ABA) authority to accredit law schools on or before 31 December 202,2026-08-22,system
administrative_state,us_politics,Auto-created from question: Will the U.S. Education Department formally revoke the American Bar Association's (ABA) authority to accredit law schools on or before 31 December 202,2026-08-22,system
legal_profession,us_politics,Auto-created from question: Will the U.S. Education Department formally revoke the American Bar Association's (ABA) authority to accredit law schools on or before 31 December 202,2026-08-22,system
monetary_policy_transmission,india_macro,Auto-created from question: Will the United Forum of Bank Unions (UFBU) initiate an indefinite strike on or before 26 October 2026?,2026-08-25,system
canada_us_relations,global_macro,"Auto-created from question: Will the U.S. government implement the 50 percent tariffs on Canadian cars, trucks, and automotive parts on or before 1 January 2027?",2026-08-25,system
defense_industrial_base,geopolitics,Auto-created from question: Will Ukraine establish a domestic production line for the SCALP/Storm Shadow cruise missile on or before 31 December 2026?,2026-08-25,system
nuclear_nonproliferation,us_politics,Auto-created from question: Will the U.S. Congress pass a joint resolution to block the 30-year nuclear cooperation agreement with Saudi Arabia on or before 26 August 2027?,2026-08-26,system
us_china_relations,geopolitics,Auto-created from question: Will the United States impose secondary sanctions on major Chinese banks for purchasing Iranian oil on or before 30 September 2026?,2026-08-26,system
legislative_process,geopolitics,"Auto-created from question: Will Taiwan's parliament pass the six-year, T$210 billion special budget for drone procurement on or before 31 December 2026?",2026-08-27,system
monetary_policy,global_macro,Auto-created from question: Will the European Central Bank raise its key interest rate by a quarter point on or before 15 September 2026?,2026-09-02,system
energy_policy,global_macro,Auto-created from question: Will the European Central Bank raise its key interest rate by a quarter point on or before 15 September 2026?,2026-09-02,system
